double: input 2097252, output... 15.13335437764579438635
double: input 2097253, output... 15.13335485445998962462
double: input 2097254, output... 15.13335533127395748920
double: input 2097255, output... 15.13335580808769798011
double: input 2097256, output... 15.13335628490121109735
double: input 2097257, output... 15.13335676171449684091
double: input 2097258, output... 15.13335723852755521079
double: input 2097259, output... 15.13335771534038620700
double: input 2097260, output... 15.13335819215298982954
double: input 2097261, output... 15.13335866896536607840
double: input 2097262, output... 15.13335914577751495358
double: input 2097263, output... 15.13335962258943645509
double: input 2097264, output... 15.13336009940113058292
double: input 2097265, output... 15.13336057621259733708
double: input 2097266, output... 15.13336105302383671756
double: input 2097267, output... 15.13336152983484872436
double: input 2097268, output... 15.13336200664563335749
double: input 2097269, output... 15.13336248345619061695
double: input 2097270, output... 15.13336296026652050273
double: input 2097271, output... 15.13336343707662301483
double: input 2097272, output... 15.13336391388649815326
double: input 2097273, output... 15.13336439069614591801
double: input 2097274, output... 15.13336486750556630909
double: input 2097275, output... 15.13336534431475932649
double: input 2097276, output... 15.13336582112372497022
double: input 2097277, output... 15.13336629793246324027
double: input 2097278, output... 15.13336677474097413665
double: input 2097279, output... 15.13336725154925765935
double: input 2097280, output... 15.13336772835731380837
double: input 2097281, output... 15.13336820516514258372
double: input 2097282, output... 15.13336868197274398540
double: input 2097283, output... 15.13336915878011801340
double: input 2097284, output... 15.13336963558726466772
double: input 2097285, output... 15.13337011239418394837
double: input 2097286, output... 15.13337058920087585534
double: input 2097287, output... 15.13337106600734038864
double: input 2097288, output... 15.13337154281357754826
double: input 2097289, output... 15.13337201961958733420
double: input 2097290, output... 15.13337249642536974648
double: input 2097291, output... 15.13337297323092478507
double: input 2097292, output... 15.13337345003625244999
double: input 2097293, output... 15.13337392684135274123
double: input 2097294, output... 15.13337440364622565880
double: input 2097295, output... 15.13337488045087120270
double: input 2097296, output... 15.13337535725528937292
double: input 2097297, output... 15.13337583405948016946
double: input 2097298, output... 15.13337631086344359232
double: input 2097299, output... 15.13337678766717964152

-0.270376
