single: input 2097252, output... 15.40368270874023437500
single: input 2097253, output... 15.40368270874023437500
single: input 2097254, output... 15.40368270874023437500
single: input 2097255, output... 15.40368270874023437500
single: input 2097256, output... 15.40368270874023437500
single: input 2097257, output... 15.40368270874023437500
single: input 2097258, output... 15.40368270874023437500
single: input 2097259, output... 15.40368270874023437500
single: input 2097260, output... 15.40368270874023437500
single: input 2097261, output... 15.40368270874023437500
single: input 2097262, output... 15.40368270874023437500
single: input 2097263, output... 15.40368270874023437500
single: input 2097264, output... 15.40368270874023437500
single: input 2097265, output... 15.40368270874023437500
single: input 2097266, output... 15.40368270874023437500
single: input 2097267, output... 15.40368270874023437500
single: input 2097268, output... 15.40368270874023437500
single: input 2097269, output... 15.40368270874023437500
single: input 2097270, output... 15.40368270874023437500
single: input 2097271, output... 15.40368270874023437500
single: input 2097272, output... 15.40368270874023437500
single: input 2097273, output... 15.40368270874023437500
single: input 2097274, output... 15.40368270874023437500
single: input 2097275, output... 15.40368270874023437500
single: input 2097276, output... 15.40368270874023437500
single: input 2097277, output... 15.40368270874023437500
single: input 2097278, output... 15.40368270874023437500
single: input 2097279, output... 15.40368270874023437500
single: input 2097280, output... 15.40368270874023437500
single: input 2097281, output... 15.40368270874023437500
single: input 2097282, output... 15.40368270874023437500
single: input 2097283, output... 15.40368270874023437500
single: input 2097284, output... 15.40368270874023437500
single: input 2097285, output... 15.40368270874023437500
single: input 2097286, output... 15.40368270874023437500
single: input 2097287, output... 15.40368270874023437500
single: input 2097288, output... 15.40368270874023437500
single: input 2097289, output... 15.40368270874023437500
single: input 2097290, output... 15.40368270874023437500
single: input 2097291, output... 15.40368270874023437500
single: input 2097292, output... 15.40368270874023437500
single: input 2097293, output... 15.40368270874023437500
single: input 2097294, output... 15.40368270874023437500
single: input 2097295, output... 15.40368270874023437500
single: input 2097296, output... 15.40368270874023437500
single: input 2097297, output... 15.40368270874023437500
single: input 2097298, output... 15.40368270874023437500
single: input 2097299, output... 15.40368270874023437500
-0.270376
